Feature,Importance,Std
width,0.10906432748538013,0.006404443308131434
word_count,0.08852339181286553,0.006128591496702684
left,0.0682748538011696,0.00585890786827892
height,0.04656432748538013,0.00454217438096667
top,0.04619883040935674,0.0069023810725806385
childs_count,0.017251461988304108,0.0028349005014130534
